Title,Company,Location,Apply
b'Planvisualist',"b""Gemeente 's-Hertogenbosch""","b'\xe2\x80\x99s-Hertogenbosch, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/planvisualist-at-gemeente-s-hertogenbosch-3456319590?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=SSL3jGZ8zIETqtCkFfYTzQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Vormgever/DTP-er, Uden'",b'Wiltec - Spuiterij & oppervlaktetechniek',"b'Uden, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/vormgever-dtp-er-uden-at-wiltec-spuiterij-oppervlaktetechniek-3485037576?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=QO%2FCKsHmovdV7iPjVJS7WA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Stage Graphic Design/Content Creator',b'Musthave District',"b'\xe2\x80\x99s-Hertogenbosch, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/stage-graphic-design-content-creator-at-musthave-district-3487306444?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=vP7Vm3Tvd9skBPxgQOf96A%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Grafisch ontwerper - Graphic Designer | 16 uur pw | 6 maanden',b'Nederland Vacature Groep',"b'Rosmalen, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-ontwerper-graphic-designer-16-uur-pw-6-maanden-at-nederland-vacature-groep-3492211497?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=gYqpiMjWgYrq3Wj%2BHZelJA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Brand Graphic Designer',b'Vlisco Netherlands',"b'Helmond, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/brand-graphic-designer-at-vlisco-netherlands-3473671026?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=V72ptIsuRa3Lsek1WJgSmw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Creatief Marketeer & Graphic Design',b'TwisTea',"b'Uden, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/creatief-marketeer-graphic-design-at-twistea-3491820895?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=7U5i%2BaVxsiU%2FtTDvNFrpaw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Designer',b'BDO Nederland',"b'Eindhoven, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/junior-designer-at-bdo-nederland-3494380384?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=isqRGoKNwcGPFDtopNdkBQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Grafisch Vormgeven / DTP werk',b'Cindruk',"b'Gorinchem, South Holland, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-vormgeven-dtp-werk-at-cindruk-3495960832?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=3uaNF%2F3Ox1H61Pfaj%2FTbgw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Visual designer',b'World Wide Lighting B.V.',"b'Helmond, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/visual-designer-at-world-wide-lighting-b-v-3476566713?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=HR6N%2BqOToPHTiLlKyVfEKw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Junior Visual Designer',b'Nederland Vacature Groep',"b'Aarle-Rixtel, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/junior-visual-designer-at-nederland-vacature-groep-3487591349?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=pIjz0MMI7uLUdu2%2FnTyxQw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card'
"b'Grafisch nabewerker, Goudriaan'",b'Intro Personeel',"b'Goudriaan, South Holland, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-nabewerker-goudriaan-at-intro-personeel-3475053367?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=rYEfBHdnEQhNRQZ7dsjLFg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Concept Designer',b'Foot Locker',"b'Vianen, Utrecht, Netherlands'",b'https://nl.linkedin.com/jobs/view/concept-designer-at-foot-locker-3486025990?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=hSBD7DHmv5AjGjCd4P1xkQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Senior Packaging Designer',b'stichd',"b""'s-Hertogenbosch, North Brabant, Netherlands""",b'https://nl.linkedin.com/jobs/view/senior-packaging-designer-at-stichd-3481275859?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=Rzl25QIavWbmae27SuyfLw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Experienced Mentor Graphics/NX/Unigraphics Cable Harness Designer max \xe2\x82\xac 65000 gross yearly',b'Trinamics',"b'Eindhoven, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/experienced-mentor-graphics-nx-unigraphics-cable-harness-designer-max-%E2%82%AC-65000-gross-yearly-at-trinamics-3420450241?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=fMBOp0SM8GTJMr36quMHSw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Grafisch Nabewerker Bij Raaak Personeel',b'Techniekwerkt.nl',"b'Eindhoven, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/grafisch-nabewerker-bij-raaak-personeel-at-techniekwerkt-3480168687?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=7wx1ZJu17FUiwwtHtmF7%2BA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Online marketeer',b'The Schippers Group',"b'Hapert, North Brabant, Netherlands'",b'https://nl.linkedin.com/jobs/view/online-marketeer-at-the-schippers-group-3487209805?refId=qgakbN3FzfkYtQyPCEE%2BQQ%3D%3D&trackingId=zKeRdc0VW4XPrWLkkLpRUA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
